Games,Amount
The Legend of Zelda,6.51
 The Adventure of Link,4.38
 A Link to the Past,4.61
 Link's Awakening,3.83
 Ocarina of Time,7.6
 Majora's Mask,3.36
 Oracle of Seasons,3.99
 Oracle of Ages,3.99
 A Link to the Past & Four Swords,2.82
 The Wind Waker,4.43
 Four Sword Adventures,0
 The Minish Cap,1.76
 Twilight Princess,8.85
 Phantom Hourglass,4.76
 Sprit Tracks,2.96
 Skyward Sword,3.67
 A Link Between Worlds,4.24
 Tri Force Heros,1.36
 Breath of the Wild,31.51
 Tears of the Kingdom,10
